val_sudden_down,val_sudden_upp,val_up_down,epoch,step,train_sudden_down,train_sudden_upp,train_up_down
0.5714206099510193,0.5714206099510193,0.5714206099510193,0,14429,,,
,,,1,14429,0.5740330815315247,0.5738990902900696,0.5739438533782959
0.5714206099510193,0.5714206099510193,0.5714284777641296,1,28859,,,
,,,2,28859,0.5725701451301575,0.5724808573722839,0.5726368427276611
0.5713909268379211,0.5714502930641174,0.5714343190193176,2,43289,,,
,,,3,43289,0.5719812512397766,0.5720453262329102,0.5719518065452576
0.5714057087898254,0.5714502930641174,0.5714349150657654,3,57719,,,
,,,4,57719,0.5717136859893799,0.5717832446098328,0.5717021226882935
0.5714057087898254,0.5714502930641174,0.5714362263679504,4,72149,,,
,,,5,72149,0.571609377861023,0.5716148018836975,0.571627140045166
0.5714206099510193,0.5714206099510193,0.5714296698570251,5,86579,,,
,,,6,86579,0.5714859366416931,0.5715301632881165,0.5715664029121399
0.5714206099510193,0.5714353919029236,0.5714329481124878,6,101009,,,
,,,7,101009,0.5715550780296326,0.5715300440788269,0.5715466737747192
0.5714206099510193,0.5714353919029236,0.5714336037635803,7,115439,,,
,,,8,115439,0.5715005397796631,0.5715305209159851,0.5715406537055969
0.5714206099510193,0.5714206099510193,0.5714284181594849,8,129869,,,
,,,9,129869,0.5714757442474365,0.5715054869651794,0.5715081691741943
0.5714206099510193,0.5714353919029236,0.5714257955551147,9,144299,,,
,,,10,144299,0.5714954733848572,0.5714956521987915,0.571517825126648
0.5714206099510193,0.5714206099510193,0.5714231133460999,10,158729,,,
,,,11,158729,0.5715203881263733,0.5714657306671143,0.5715121626853943
0.5714206099510193,0.5714206099510193,0.5714218616485596,11,173159,,,
,,,12,173159,0.5715204477310181,0.5715303421020508,0.5715236067771912
0.5714353919029236,0.5714206099510193,0.5714283585548401,12,187589,,,
,,,13,187589,0.5715105533599854,0.5715748071670532,0.5715188980102539
0.5714206099510193,0.5714206099510193,0.5714244246482849,13,202019,,,
,,,14,202019,0.5715105533599854,0.5714905858039856,0.5715227127075195
0.5714206099510193,0.5714206099510193,0.57142573595047,14,216449,,,
,,,15,216449,0.571554958820343,0.5715252757072449,0.5715240240097046
0.5714206099510193,0.5714206099510193,0.5714250802993774,15,230879,,,
,,,16,230879,0.5715005397796631,0.5715253353118896,0.5715246200561523
0.5714353919029236,0.5714353919029236,0.5714329481124878,16,245309,,,
,,,17,245309,0.5715152025222778,0.5715548992156982,0.5715301036834717
0.5714353919029236,0.5714353919029236,0.571432888507843,17,259739,,,
,,,18,259739,0.5715698599815369,0.5716046690940857,0.5715214014053345
0.5714502930641174,0.5714502930641174,0.5714367628097534,18,274169,,,
,,,19,274169,0.5715647339820862,0.5715006589889526,0.5715192556381226
0.5714206099510193,0.5714206099510193,0.5714289546012878,19,288599,,,
,,,20,288599,0.5715597867965698,0.5715501308441162,0.5715298652648926
0.5714206099510193,0.5714353919029236,0.5714322328567505,20,303029,,,
,,,21,303029,0.571540117263794,0.5714956521987915,0.5715181827545166
0.5714206099510193,0.5714502930641174,0.5714361071586609,21,317459,,,
,,,22,317459,0.5715503692626953,0.5715550780296326,0.5715301036834717
0.5714206099510193,0.5714502930641174,0.5714335441589355,22,331889,,,
,,,23,331889,0.5715105533599854,0.5715301632881165,0.5715181231498718
0.5714206099510193,0.5714353919029236,0.5714302659034729,23,346319,,,
,,,24,346319,0.5715003609657288,0.5715301632881165,0.5715328454971313
0.5714502930641174,0.5714502930641174,0.5714530348777771,24,360749,,,
,,,25,360749,0.5716044306755066,0.5715503096580505,0.5715343952178955
0.5714502930641174,0.5714502930641174,0.5714413523674011,25,375179,,,
,,,26,375179,0.5715007185935974,0.57157963514328,0.5715333223342896
0.5714353919029236,0.5714353919029236,0.5714414119720459,26,389609,,,
,,,27,389609,0.5715698003768921,0.5715748071670532,0.5715340375900269
0.5714353919029236,0.5714353919029236,0.5714439153671265,27,404039,,,
,,,28,404039,0.5715699195861816,0.5715103149414062,0.5715562105178833
0.5714353919029236,0.5714353919029236,0.5714497566223145,28,418469,,,
,,,29,418469,0.5714905858039856,0.5715550780296326,0.5715472102165222
0.5714206099510193,0.5714502930641174,0.5714433193206787,29,432899,,,
,,,30,432899,0.5715202689170837,0.5715252757072449,0.5715520977973938
0.5714206099510193,0.5714502930641174,0.5714426636695862,30,447329,,,
,,,31,447329,0.5714956521987915,0.571554958820343,0.5715444087982178
0.5714353919029236,0.5714502930641174,0.5714523792266846,31,461759,,,
,,,32,461759,0.5715601444244385,0.5715599656105042,0.5715406537055969
0.5714502930641174,0.5714353919029236,0.571445882320404,32,476189,,,
,,,33,476189,0.5716094970703125,0.5715897679328918,0.5715616941452026
0.5714353919029236,0.5714502930641174,0.5714439749717712,33,490619,,,
,,,34,490619,0.5715500116348267,0.5715154409408569,0.5715416073799133
0.5714502930641174,0.5714502930641174,0.5714543461799622,34,505049,,,
,,,35,505049,0.5714956521987915,0.5715152621269226,0.5715507864952087
0.5714353919029236,0.5714502930641174,0.571451723575592,35,519479,,,
,,,36,519479,0.571550190448761,0.5715750455856323,0.5715605616569519
0.5714502930641174,0.5714650750160217,0.5714588761329651,36,533909,,,
,,,37,533909,0.5715303421020508,0.5715252757072449,0.571560800075531
0.5714353919029236,0.5714206099510193,0.5714543461799622,37,548339,,,
,,,38,548339,0.571609377861023,0.5715303421020508,0.5715467929840088
